itemid,code,type,category,label,description
101351,7975 ,PROCEDURE,NA,NA,CL REDUC DISLOC-HIP      
101352,7976 ,PROCEDURE,NA,NA,CL REDUC DISLOC-KNEE     
101353,7978 ,PROCEDURE,NA,NA,CL REDUC DISLOC-FOOT/TOE 
101354,7979 ,PROCEDURE,NA,NA,CL REDUC DISLOCATION NEC 
101355,7982 ,PROCEDURE,NA,NA,OPEN REDUC-ELBOW DISLOC  
101356,7985 ,PROCEDURE,NA,NA,OPEN REDUC-HIP DISLOCAT  
101357,7986 ,PROCEDURE,NA,NA,OPEN REDUC-KNEE DISLOCAT 
101358,7987 ,PROCEDURE,NA,NA,OPEN REDUC-ANKLE DISLOC  
101359,7988 ,PROCEDURE,NA,NA,OPN REDUC DISLOC-FT/TOE  
101360,8005 ,PROCEDURE,NA,NA,ARTHROT/PROS REMOV-HIP   
101361,8006 ,PROCEDURE,NA,NA,ARTHROT/PROS REMOV-KNEE  
101362,8011 ,PROCEDURE,NA,NA,OTH ARTHROTOMY-SHOULDER  
101363,8012 ,PROCEDURE,NA,NA,OTH ARTHROTOMY-ELBOW     
101364,8013 ,PROCEDURE,NA,NA,OTH ARTHROTOMY-WRIST     
101365,8014 ,PROCEDURE,NA,NA,OTH ARTHROTOMY-HAND/FNGR 
101366,8015 ,PROCEDURE,NA,NA,OTH ARTHROTOMY-HIP       
101367,8016 ,PROCEDURE,NA,NA,OTH ARTHROTOMY-KNEE      
101368,8017 ,PROCEDURE,NA,NA,OTH ARTHROTOMY-ANKLE     
101369,8021 ,PROCEDURE,NA,NA,SHOULDER ARTHROSCOPY     
101370,8026 ,PROCEDURE,NA,NA,KNEE ARTHROSCOPY         
101371,8031 ,PROCEDURE,NA,NA,SHOULDER JOINT BIOPSY    
101372,8036 ,PROCEDURE,NA,NA,KNEE JOINT BIOPSY        
101373,8039 ,PROCEDURE,NA,NA,JOINT BIOPSY NEC         
101374,8041 ,PROCEDURE,NA,NA,SHOULDER STRUCT DIVISION 
101375,8046 ,PROCEDURE,NA,NA,KNEE STRUCTURE DIVISION  
101376,8049 ,PROCEDURE,NA,NA,JT STRUCTUR DIVISION NEC 
101377,8050 ,PROCEDURE,NA,NA,EXC/DESTR UNSPEC INTERV  
101378,8051 ,PROCEDURE,NA,NA,EXC INTERVERTEBRAL DISC  
101379,806  ,PROCEDURE,NA,NA,EXCIS KNEE SEMILUN CARTL 
101380,8071 ,PROCEDURE,NA,NA,SHOULDER SYNOVECTOMY     
101381,8073 ,PROCEDURE,NA,NA,WRIST SYNOVECTOMY        
101382,8075 ,PROCEDURE,NA,NA,HIP SYNOVECTOMY          
101383,8076 ,PROCEDURE,NA,NA,KNEE SYNOVECTOMY         
101384,8079 ,PROCEDURE,NA,NA,SYNOVECTOMY-SITE NEC     
101385,8081 ,PROCEDURE,NA,NA,DESTRUC-SHOULDER LES NEC 
101386,8082 ,PROCEDURE,NA,NA,DESTRUC-ELBOW LESION NEC 
101387,8083 ,PROCEDURE,NA,NA,DESTRUC-WRIST LESION NEC 
101388,8084 ,PROCEDURE,NA,NA,DESTRUC-HAND JT LES NEC  
101389,8085 ,PROCEDURE,NA,NA,DESTRUCT-HIP LESION NEC  
101390,8086 ,PROCEDURE,NA,NA,DESTRUCT-KNEE LESION NEC 
101391,8087 ,PROCEDURE,NA,NA,DESTRUC-ANKLE LESION NEC 
101392,8088 ,PROCEDURE,NA,NA,DESTRUC-FOOT JT LES NEC  
101393,8089 ,PROCEDURE,NA,NA,DESTRUCT JOINT LES NEC   
101394,8096 ,PROCEDURE,NA,NA,EXCISION OF KNEE NEC     
101395,8098 ,PROCEDURE,NA,NA,EXCISION FOOT JOINT NEC  
101396,8099 ,PROCEDURE,NA,NA,EXCISION OF JOINT NEC    
101397,8101 ,PROCEDURE,NA,NA,ATLAS-AXIS FUSION        
101398,8102 ,PROCEDURE,NA,NA,OTHER CERVICAL FUSION    
101399,8103 ,PROCEDURE,NA,NA,DORSAL SPINAL FUSION     
101400,8104 ,PROCEDURE,NA,NA,DORSOLUMBAR FUSION W ROD 
101401,8105 ,PROCEDURE,NA,NA,OTHER DORSOLUMBAR FUSION 
101402,8106 ,PROCEDURE,NA,NA,LUMBAR SPINAL FUSION     
101403,8107 ,PROCEDURE,NA,NA,LUMBOSACRAL FUSION       
101404,8108 ,PROCEDURE,NA,NA,LUMBAR/LUMBOS FUSE POSTR 
101405,8111 ,PROCEDURE,NA,NA,ANKLE FUSION             
101406,8112 ,PROCEDURE,NA,NA,TRIPLE ARTHRODESIS       
101407,8113 ,PROCEDURE,NA,NA,SUBTALAR FUSION          
101408,8114 ,PROCEDURE,NA,NA,MIDTARSAL FUSION         
101409,8115 ,PROCEDURE,NA,NA,TARSOMETATARSAL FUSION   
101410,8116 ,PROCEDURE,NA,NA,METATARSOPHALANGEAL FUS  
101411,8117 ,PROCEDURE,NA,NA,OTHER FUSION OF FOOT     
101412,8122 ,PROCEDURE,NA,NA,ARTHRODESIS OF KNEE      
101413,8125 ,PROCEDURE,NA,NA,CARPORADIAL FUSION       
101414,8128 ,PROCEDURE,NA,NA,INTERPHALANGEAL FUSION   
101415,8132 ,PROCEDURE,NA,NA,REFUSION OTH CERV SPINE  
101416,8133 ,PROCEDURE,NA,NA,REFUSION OTH CERV SPINE  
101417,8134 ,PROCEDURE,NA,NA,REFUSION DORSAL DORSOLUM 
101418,8135 ,PROCEDURE,NA,NA,REFUSION DORSAL DORSOLUM 
101419,8138 ,PROCEDURE,NA,NA,REFUSION LUMBAR LUMBOSAC 
101420,8140 ,PROCEDURE,NA,NA,"REPAIR OF HIP, NEC       "
101421,8144 ,PROCEDURE,NA,NA,PATELLAR STABILIZATION   
101422,8145 ,PROCEDURE,NA,NA,CRUCIATE LIG REPAIR NEC  
101423,8146 ,PROCEDURE,NA,NA,COLLATERL LIG REPAIR NEC 
101424,8147 ,PROCEDURE,NA,NA,OTHER REPAIR OF KNEE     
101425,8151 ,PROCEDURE,NA,NA,TOT HIP REPLACE-METHACRY 
101426,8152 ,PROCEDURE,NA,NA,PARTIAL HIP REPLACEMENT  
101427,8153 ,PROCEDURE,NA,NA,REVISION HIP REPLACEMENT 
101428,8154 ,PROCEDURE,NA,NA,TOTAL KNEE REPLACEMENT   
101429,8155 ,PROCEDURE,NA,NA,REVISION KNEE REPLACEMEN 
101430,8157 ,PROCEDURE,NA,NA,REPLACEMENT  FOOT JOINT  
101431,8161 ,PROCEDURE,NA,NA,360 DEGREE SPINAL FUSION 
101432,8162 ,PROCEDURE,NA,NA,FUSION OR REFUSION OF 2- 
101433,8163 ,PROCEDURE,NA,NA,FUSION OR REFUSION OF 4- 
101434,8164 ,PROCEDURE,NA,NA,FUSION OR REFUSION OF 9  
101435,8165 ,PROCEDURE,NA,NA,PERCUTANEOUS VERTEBROPLA 
101436,8166 ,PROCEDURE,NA,NA,PERCUTANEOUS VERTEBRAL A 
101437,8172 ,PROCEDURE,NA,NA,ARTHOPLASTY MPJ IPJ W/O  
101438,8174 ,PROCEDURE,NA,NA,ARTHRPLSTY W/IMPL CARPOC 
101439,8175 ,PROCEDURE,NA,NA,ARTHPLSTY CARPOCARPAL/CA 
101440,8179 ,PROCEDURE,NA,NA,HAND ARTHROPLASTY NEC    
101441,8180 ,PROCEDURE,NA,NA,TOTAL SHOULDER REPLACEME 
101442,8181 ,PROCEDURE,NA,NA,SHOULDER ARTHROPL-PROSTH 
101443,8182 ,PROCEDURE,NA,NA,REP RECUR SHLDER DISLOC  
101444,8183 ,PROCEDURE,NA,NA,SHOULDER ARTHROPLAST NEC 
101445,8185 ,PROCEDURE,NA,NA,ELBOW ARTHROPLASTY NEC   
101446,8191 ,PROCEDURE,NA,NA,ARTHROCENTESIS           
101447,8192 ,PROCEDURE,NA,NA,INJECTION INTO JOINT     
101448,8193 ,PROCEDURE,NA,NA,SUTUR CAPSUL/LIGAMEN ARM 
101449,8195 ,PROCEDURE,NA,NA,SUTUR CAPSUL/LIG LEG NEC 
101450,8197 ,PROCEDURE,NA,NA,REV JT REPLACE UPPR EX   
101451,8201 ,PROCEDURE,NA,NA,EXPLOR TEND SHEATH-HAND  
101452,8209 ,PROCEDURE,NA,NA,INC SOFT TISSUE HAND NEC 
101453,8211 ,PROCEDURE,NA,NA,TENOTOMY OF HAND         
101454,8212 ,PROCEDURE,NA,NA,FASCIOTOMY OF HAND       
101455,8221 ,PROCEDURE,NA,NA,EXC LES TEND SHEATH HAND 
101456,8222 ,PROCEDURE,NA,NA,EXCISION HAND MUSCLE LES 
101457,8229 ,PROCEDURE,NA,NA,EXC LES SFT TISS HND NEC 
101458,8233 ,PROCEDURE,NA,NA,HAND TENONECTOMY NEC     
101459,8236 ,PROCEDURE,NA,NA,OTHER MYECTOMY OF HAND   
101460,8241 ,PROCEDURE,NA,NA,SUTURE TENDN SHEATH HAND 
101461,8244 ,PROCEDURE,NA,NA,SUTUR FLEX TEND HAND NEC 
101462,8245 ,PROCEDURE,NA,NA,SUTURE HAND TENDON NEC   
101463,8246 ,PROCEDURE,NA,NA,SUTURE HAND MUSCLE/FASC  
60993,920 ,HFCA_DRG,NA,NA,COMPLICATIONS OF TREATMENT W CC         
60994,921 ,HFCA_DRG,NA,NA,COMPLICATIONS OF TREATMENT W/O CC/MCC   
60995,922 ,HFCA_DRG,NA,NA,"OTHER INJURY, POISONING & TOXIC EFFECT D"
60996,923 ,HFCA_DRG,NA,NA,"OTHER INJURY, POISONING & TOXIC EFFECT D"
60997,939 ,HFCA_DRG,NA,NA,O.R. PROC W DIAGNOSES OF OTHER CONTACT W
60998,948 ,HFCA_DRG,NA,NA,SIGNS & SYMPTOMS W/O MCC                
60999,949 ,HFCA_DRG,NA,NA,AFTERCARE W CC/MCC                      
61000,955 ,HFCA_DRG,NA,NA,CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAU
61001,956 ,HFCA_DRG,NA,NA,"LIMB REATTACHMENT, HIP & FEMUR PROC FOR "
61002,957 ,HFCA_DRG,NA,NA,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNI
61003,958 ,HFCA_DRG,NA,NA,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNI
61004,959 ,HFCA_DRG,NA,NA,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNI
61005,963 ,HFCA_DRG,NA,NA,OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC 
61006,964 ,HFCA_DRG,NA,NA,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC  
61007,965 ,HFCA_DRG,NA,NA,OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC
61008,969 ,HFCA_DRG,NA,NA,HIV W EXTENSIVE O.R. PROCEDURE W MCC    
61009,974 ,HFCA_DRG,NA,NA,HIV W MAJOR RELATED CONDITION W MCC     
61010,975 ,HFCA_DRG,NA,NA,HIV W MAJOR RELATED CONDITION W CC      
61011,976 ,HFCA_DRG,NA,NA,HIV W MAJOR RELATED CONDITION W/O CC/MCC
61012,977 ,HFCA_DRG,NA,NA,HIV W OR W/O OTHER RELATED CONDITION    
61013,981 ,HFCA_DRG,NA,NA,EXTENSIVE O.R. PROCEDURE UNRELATED TO PR
61014,982 ,HFCA_DRG,NA,NA,EXTENSIVE O.R. PROCEDURE UNRELATED TO PR
